,sender,receiver,time
384,Ike18,Ike12,1397.830023611111
385,Ike09,Ike18,1398.0956447222222
386,Ike18,Ike09,1398.1125488888888
387,Ike18,Ike09,1398.1325394444445
388,Ike09,Ike18,1398.1466322222223
389,Ike18,Ike09,1398.1533919444444
390,Ike12,Ike18,1398.4319655555555
391,Ike18,Ike12,1398.457435
392,Ike12,Ike18,1398.478441388889
393,Ike09,Ike18,1408.6670566666667
394,Ike18,Ike09,1408.7781794444445
395,Ike09,Ike18,1408.880563888889
396,Ike18,Ike09,1408.928443888889
397,Ike09,Ike18,1409.0170241666667
398,Ike18,Ike09,1409.0555152777779
399,Ike08,Ike07,1409.1239591666667
400,Ike19,Ike14,1409.474238611111
401,Ike18,Ike09,1411.9922344444444
402,Ike09,Ike18,1412.1590016666667
403,Ike18,Ike09,1412.2300425
404,Ike09,Ike18,1412.284968888889
405,Ike18,Ike09,1412.3142708333332
406,Ike09,Ike18,1412.3330152777778
407,Ike18,Ike09,1412.3804686111112
408,Ike09,Ike18,1412.3927808333333
409,Ike13,Ike14,1413.8068225
410,Ike13,Ike17,1413.8954380555556
411,Ike14,Ike13,1414.3314530555556
412,Ike14,Ike22,1415.0673930555556
413,Ike08,Ike18,1417.2771727777779
414,Ike12,Ike13,1421.5825413888888
415,Ike13,Ike12,1430.1340425
416,Ike14,Ike12,1440.0870213888888
417,Ike12,Ike14,1443.9358683333332
418,Ike03,Ike18,1443.9485583333333
419,Ike12,Ike18,1443.956135
420,Ike18,Ike03,1445.2155280555555
421,Ike03,Ike18,1446.0323425
422,Ike18,Ike03,1446.040880277778
423,Ike22,Ike14,1453.2140469444444
424,Ike08,Ike13,1456.2132583333334
425,Ike13,Ike08,1457.0623802777777
426,Ike17,Ike11,1458.2185
427,Ike11,Ike17,1458.2814688888889
428,Ike09,Ike18,1459.7230094444444
429,Ike18,Ike09,1459.7328891666666
430,Ike14,Ike01,1466.0733780555556
431,Ike16,Ike11,1466.2096908333333
432,Ike17,Ike03,1478.4221944444444
433,Ike18,Ike08,1480.0964613888889
434,Ike04,Ike08,1480.3461233333333
435,Ike19,Ike08,1480.6770277777778
436,Ike15,Ike08,1484.4892505555556
437,Ike04,Ike07,1486.6569752777777
438,Ike08,Ike15,1488.5831847222223
439,Ike15,Ike08,1488.6777475
440,Ike13,Ike08,1489.3090458333334
441,Ike07,Ike04,1491.4972652777778
442,Ike03,Ike08,1492.1293986111111
443,Ike12,Ike08,1494.0368597222223
444,Ike03,Ike14,1504.3758747222223
445,Ike10,Ike08,1504.644285
446,Ike09,Ike13,1506.3936377777777
447,Ike12,Ike02,1508.2869997222222
448,Ike17,Ike08,1509.0848858333334
449,Ike18,Ike09,1509.1140761111112
450,Ike03,Ike02,1509.1966125
451,Ike02,Ike03,1509.2279569444445
452,Ike18,Ike09,1509.4498102777777
453,Ike09,Ike18,1509.496363888889
454,Ike18,Ike22,1509.9039616666666
455,Ike22,Ike18,1509.9204930555557
456,Ike18,Ike22,1510.0441469444445
457,Ike22,Ike18,1510.1456455555556
458,Ike18,Ike22,1510.1563719444443
459,Ike22,Ike18,1510.1755255555556
460,Ike18,Ike22,1510.2315827777777
461,Ike22,Ike18,1510.2349347222223
462,Ike22,Ike18,1510.2597358333333
463,Ike18,Ike22,1510.2725875
464,Ike16,Ike22,1510.275523888889
465,Ike18,Ike22,1510.2881991666666
466,Ike22,Ike16,1510.2948827777777
467,Ike16,Ike22,1510.3149627777777
468,Ike22,Ike18,1510.3194375
469,Ike22,Ike16,1510.323131388889
470,Ike22,Ike14,1510.342281111111
471,Ike18,Ike22,1510.3524258333334
472,Ike22,Ike18,1510.3653830555556
473,Ike14,Ike22,1510.3700416666666
474,Ike22,Ike11,1510.379435
475,Ike11,Ike22,1510.3859180555555
476,Ike20,Ike05,1510.896898888889
477,Ike18,Ike22,1511.098566388889
478,Ike18,Ike22,1511.2374402777778
479,Ike18,Ike09,1511.6762866666666
480,Ike09,Ike18,1511.6864272222222
481,Ike22,Ike18,1511.805865
482,Ike18,Ike22,1511.8167355555556
483,Ike18,Ike22,1511.8734647222223
484,Ike18,Ike15,1511.8895291666668
485,Ike18,Ike13,1511.9141983333334
486,Ike18,Ike22,1512.0343147222222
487,Ike12,Ike15,1518.7461655555555
488,Ike18,Ike09,1530.0296102777777
489,Ike22,Ike11,1530.3871808333333
490,Ike11,Ike22,1530.5386047222223
491,Ike22,Ike11,1530.5836325
492,Ike02,Ike22,1530.6998797222222
493,Ike22,Ike02,1530.7213772222221
494,Ike02,Ike22,1530.7581858333333
495,Ike22,Ike02,1530.7723591666668
496,Ike11,Ike22,1530.7870102777779
497,Ike02,Ike22,1530.8036286111112
498,Ike22,Ike11,1530.8379922222223
499,Ike22,Ike02,1530.8751655555557
500,Ike02,Ike22,1530.919671388889
501,Ike22,Ike02,1530.9439038888888
502,Ike02,Ike22,1530.9897202777777
503,Ike22,Ike02,1531.0070019444445
504,Ike15,Ike11,1531.0356372222222
505,Ike22,Ike02,1531.4796719444444
506,Ike02,Ike22,1531.5053038888889
507,Ike18,Ike22,1531.624991388889
508,Ike22,Ike18,1531.6713797222221
509,Ike18,Ike22,1531.7100855555555
510,Ike11,Ike22,1531.7424816666667
511,Ike22,Ike18,1531.7483727777778
512,Ike18,Ike22,1531.7595475
513,Ike22,Ike18,1531.7798244444446
514,Ike13,Ike17,1532.8373102777778
515,Ike04,Ike22,1532.9036458333333
516,Ike15,Ike22,1533.3879430555555
517,Ike05,Ike02,1533.8710422222223
518,Ike02,Ike05,1533.9183241666667
519,Ike05,Ike02,1533.9484936111112
520,Ike04,Ike18,1533.9555513888888
521,Ike12,Ike14,1533.9769163888889
522,Ike04,Ike13,1534.2808786111111
523,Ike18,Ike13,1534.2876344444444
524,Ike15,Ike14,1534.4782969444445
525,Ike12,Ike05,1534.6825333333334
526,Ike11,Ike22,1534.9713044444445
527,Ike18,Ike13,1535.0008525
528,Ike13,Ike18,1535.014096388889
529,Ike18,Ike13,1535.0555319444445
530,Ike22,Ike11,1535.133773888889
531,Ike22,Ike11,1535.1766183333334
532,Ike04,Ike20,1535.5853072222221
533,Ike18,Ike09,1536.5360594444444
534,Ike09,Ike18,1536.5897933333333
535,Ike15,Ike13,1536.7936155555556
536,Ike08,Ike15,1541.4586222222222
537,Ike09,Ike18,1555.6344275
538,Ike18,Ike09,1555.7501311111112
539,Ike18,Ike12,1555.90083
540,Ike18,Ike22,1556.682008888889
541,Ike09,Ike18,1561.4268630555555
542,Ike05,Ike20,1563.5098541666666
543,Ike20,Ike05,1564.2499897222222
544,Ike09,Ike12,1565.1327430555555
545,Ike12,Ike09,1566.9890422222222
546,Ike09,Ike12,1567.0071425
547,Ike12,Ike09,1567.025945
548,Ike09,Ike12,1567.0344647222223
549,Ike12,Ike09,1567.041591111111
550,Ike12,Ike14,1567.0801902777778
551,Ike06,Ike04,1579.0388875
552,Ike04,Ike06,1579.2304180555554
553,Ike09,Ike13,1579.3194263888888
554,Ike18,Ike09,1580.6212344444446
555,Ike09,Ike18,1581.3171619444445
556,Ike18,Ike09,1581.8903202777778
557,Ike13,Ike11,1584.4561141666666
558,Ike13,Ike06,1584.474519722222
559,Ike13,Ike09,1584.493955
560,Ike06,Ike13,1584.5084633333333
561,Ike13,Ike06,1584.5949897222222
562,Ike14,Ike06,1584.8786916666666
563,Ike12,Ike06,1584.9735886111112
564,Ike11,Ike13,1586.221143888889
565,Ike13,Ike11,1586.330466388889
566,Ike03,Ike17,1589.5658577777779
567,Ike03,Ike10,1589.579312777778
568,Ike18,Ike03,1612.7164022222223
569,Ike12,Ike03,1612.9696297222222
570,Ike03,Ike12,1625.407248611111
571,Ike03,Ike18,1625.453728888889
572,Ike12,Ike03,1626.3156541666667
573,Ike08,Ike13,1628.6113863888888
574,Ike18,Ike22,1629.5546533333334
575,Ike11,Ike22,1629.5945463888888
576,Ike13,Ike17,1629.7993930555556
577,Ike01,Ike06,1631.915915
578,Ike13,Ike22,1631.9692327777777
579,Ike22,Ike18,1632.9993952777777
580,Ike18,Ike22,1633.7371197222221
581,Ike21,Ike09,1635.070538888889
582,Ike13,Ike08,1637.2590066666667
583,Ike14,Ike22,1648.7522261111112
584,Ike18,Ike22,1652.8969211111112
585,Ike22,Ike18,1652.9180183333333
586,Ike13,Ike04,1653.0233783333333
587,Ike04,Ike13,1653.1349425
588,Ike22,Ike18,1653.1473558333332
589,Ike13,Ike04,1654.459001111111
590,Ike04,Ike13,1654.522186388889
591,Ike13,Ike11,1654.6649852777778
592,Ike02,Ike22,1655.1048091666667
593,Ike13,Ike04,1655.2442044444444
594,Ike04,Ike13,1655.2641808333333
595,Ike04,Ike13,1655.499175
596,Ike13,Ike04,1655.5382791666666
597,Ike04,Ike13,1655.8364811111112
598,Ike13,Ike04,1655.9364919444445
599,Ike13,Ike11,1656.326651111111
600,Ike09,Ike18,1657.780335
601,Ike09,Ike11,1659.4858747222222
602,Ike11,Ike09,1659.6054080555555
603,Ike18,Ike08,1661.6391283333332
604,Ike08,Ike18,1662.3511997222222
605,Ike18,Ike08,1662.6591072222222
606,Ike15,Ike13,1675.471568611111
607,Ike13,Ike15,1675.8195769444444
608,Ike04,Ike13,1676.5529791666668
609,Ike13,Ike02,1676.7631286111111
610,Ike13,Ike04,1676.844201111111
611,Ike09,Ike18,1676.8818555555556
612,Ike18,Ike22,1676.9029808333332
613,Ike02,Ike13,1677.3731002777777
614,Ike18,Ike22,1677.4460533333333
615,Ike22,Ike18,1677.4840480555556
616,Ike18,Ike22,1677.6196608333332
617,Ike22,Ike18,1677.6299566666667
618,Ike18,Ike22,1677.6455844444445
619,Ike22,Ike18,1677.681345
620,Ike18,Ike22,1677.7909197222223
621,Ike22,Ike18,1677.8949102777779
622,Ike18,Ike22,1677.9092222222223
623,Ike22,Ike18,1678.0016280555556
624,Ike18,Ike22,1678.0274288888888
625,Ike22,Ike18,1678.0883725
626,Ike22,Ike18,1678.0968230555557
627,Ike18,Ike22,1678.1072452777778
628,Ike22,Ike18,1678.1204847222223
629,Ike18,Ike22,1678.1824547222222
630,Ike22,Ike18,1678.2089436111112
631,Ike18,Ike22,1678.2229091666666
